00000.png;1812;477;1920;540;1;0.717
00000.png;1817;0;1920;83;1;0.699
00000.png;145;596;198;617;1;0.645
00001.png;1827;0;1920;59;1;0.493
00002.png;1811;0;1920;71;1;0.496
00002.png;416;595;471;654;1;0.436
00003.png;1303;406;1574;580;1;0.994
00004.png;1466;428;1604;482;1;1.000
00004.png;1352;434;1460;481;1;0.998
00004.png;1354;486;1603;600;1;0.968
00005.png;1256;467;1391;514;1;0.998
00005.png;1150;517;1390;630;1;0.963
00005.png;1147;462;1252;512;1;0.810
00006.png;940;125;1213;361;1;0.933
00007.png;1302;375;1589;558;1;0.907
00008.png;1322;458;1422;507;1;1.000
00008.png;1218;494;1431;612;1;0.700
00009.png;1278;429;1510;579;1;0.984
00010.png;1309;473;1432;527;1;0.993
00010.png;1196;521;1426;626;1;0.992
00011.png;1209;370;1360;447;1;0.943
00011.png;1361;387;1507;464;1;0.924
00011.png;1434;520;1480;565;1;0.683
00012.png;1120;428;1515;622;1;0.923
00012.png;1132;323;1528;460;1;0.876
00013.png;749;187;985;376;1;0.973
00013.png;845;398;995;450;1;0.700
00014.png;1023;210;1093;279;1;0.694
00015.png;639;205;869;394;1;0.998
00015.png;887;212;1032;255;1;0.970
00015.png;886;260;1031;360;1;0.920
00016.png;852;168;966;221;1;0.983
00016.png;969;166;1089;219;1;0.944
00016.png;853;221;1090;366;1;0.943
00017.png;595;189;829;389;1;0.976
00018.png;1251;368;1425;448;1;0.964
00018.png;1244;446;1622;586;1;0.922
00018.png;1421;382;1632;461;1;0.630
00019.png;999;87;1174;272;1;0.940
00019.png;723;69;990;261;1;0.925
00020.png;999;87;1174;272;1;0.940
00020.png;723;69;990;261;1;0.925
00021.png;1300;283;1485;364;1;0.983
00021.png;1490;291;1709;372;1;0.978
00021.png;1301;370;1702;556;1;0.947
00022.png;1397;312;1537;387;1;0.948
00022.png;1539;328;1727;408;1;0.929
00022.png;1385;380;1723;565;1;0.918
00023.png;733;63;1025;299;1;0.898
00023.png;1820;431;1920;535;1;0.715
00024.png;1372;265;1737;496;1;0.988
00026.png;1328;459;1390;510;1;0.637
00026.png;1271;342;1316;382;1;0.596
00026.png;1159;402;1239;436;1;0.419
00027.png;578;104;844;301;1;0.888
00027.png;852;193;1028;327;1;0.866
00027.png;866;137;1035;205;1;0.818
00028.png;1426;273;1623;369;1;0.931
00028.png;1217;330;1614;567;1;0.925
