00000.png;1832;0;1892;43;1;0.48
00000.png;126;588;230;635;1;0.6
00001.png;1856;0;1900;26;1;0.84
00002.png;1851;0;1919;63;1;0.5
00003.png;1302;407;1574;576;1;0.91
00004.png;1349;484;1606;600;1;0.94
00004.png;1466;431;1600;477;1;0.96
00004.png;1352;433;1460;479;1;0.97
00005.png;1146;515;1393;631;1;0.9
00005.png;1252;466;1391;513;1;0.89
00005.png;1152;463;1246;508;1;0.92
00006.png;618;44;940;347;1;0.94
00007.png;1295;371;1593;560;1;0.84
00008.png;1323;461;1418;503;1;0.89
00008.png;1233;455;1317;496;1;0.92
00008.png;1227;499;1419;604;1;0.88
00009.png;1273;427;1512;580;1;0.92
00010.png;1192;519;1429;626;1;0.92
00011.png;1211;373;1357;441;1;0.82
00011.png;1363;392;1503;458;1;0.78
00011.png;1191;439;1501;618;1;0.85
00011.png;708;545;781;594;1;0.69
00012.png;1127;324;1532;457;1;0.8
00012.png;1112;424;1522;623;1;0.9
00013.png;745;184;988;377;1;0.93
00014.png;800;77;1130;334;1;0.75
00015.png;634;201;873;397;1;0.94
00016.png;854;171;962;214;1;0.89
00016.png;852;223;1089;361;1;0.89
00016.png;971;171;1085;212;1;0.85
00017.png;594;189;829;387;1;0.9
00018.png;1254;373;1421;440;1;0.87
00018.png;1431;386;1621;455;1;0.82
00018.png;1242;449;1621;579;1;0.83
00021.png;1293;366;1709;556;1;0.86
00021.png;1491;296;1706;365;1;0.68
00022.png;1382;382;1724;561;1;0.82
00022.png;1539;333;1724;402;1;0.63
00024.png;1369;265;1738;493;1;0.94
00026.png;1096;378;1413;571;1;0.87
00027.png;575;105;844;301;1;0.9
00028.png;1440;286;1499;338;1;0.65
00028.png;1208;325;1620;570;1;0.83
00028.png;1238;243;1418;336;1;0.83
00028.png;1184;1008;1608;1079;1;0.47
00029.png;1092;358;1450;573;1;0.83
00030.png;1266;337;1544;499;1;0.94
00032.png;1272;262;1748;599;1;0.82
00032.png;1314;193;1483;273;1;0.73
00033.png;627;109;825;342;1;0.93
00034.png;1387;344;1827;547;1;0.55
00036.png;509;108;749;351;1;0.73
00039.png;764;174;998;288;1;0.78
00039.png;775;69;1011;196;1;0.78
00040.png;1331;374;1656;538;1;0.89
00040.png;1334;222;1659;373;1;0.85
00041.png;649;64;927;315;1;0.92
00042.png;1112;275;1474;538;1;0.84
00042.png;1146;211;1287;285;1;0.82
00043.png;705;68;952;310;1;0.93
00044.png;1263;233;1808;514;1;0.88
00044.png;1472;165;1803;243;1;0.77
00045.png;623;53;885;343;1;0.85
00046.png;1336;242;1484;302;1;0.92
00046.png;1495;245;1656;308;1;0.85
00046.png;1329;314;1659;500;1;0.86
00047.png;1382;341;1668;510;1;0.81
00048.png;1012;451;1231;576;1;0.91
00048.png;1026;414;1104;449;1;0.91
00048.png;1108;421;1231;460;1;0.85
00049.png;468;58;851;363;1;0.83
00050.png;1119;461;1155;493;1;0.66
00050.png;983;437;1100;490;1;0.86
00050.png;958;485;1246;705;1;0.87
00051.png;1183;566;1402;707;1;0.93
00051.png;1712;957;1759;972;1;0.96
00052.png;651;43;848;116;1;0.89
00052.png;861;48;1085;124;1;0.85
00052.png;639;130;1090;360;1;0.89
00052.png;143;671;189;682;1;0.73
00053.png;1095;513;1407;686;1;0.91
00053.png;1258;463;1407;529;1;0.85
00053.png;1113;448;1251;513;1;0.91
00053.png;1130;781;1207;830;1;0.76
00054.png;1195;539;1310;575;1;0.89
00054.png;1101;543;1188;578;1;0.93
00054.png;1100;580;1318;675;1;0.87
00055.png;1447;465;1635;606;1;0.91
00055.png;1439;590;1631;697;1;0.87
00056.png;1458;498;1650;584;1;0.88
00056.png;1286;483;1448;568;1;0.91
00056.png;1273;573;1653;724;1;0.87
00057.png;877;312;1005;364;1;0.83
00057.png;745;350;1003;489;1;0.89
00057.png;760;298;871;349;1;0.87
00058.png;550;203;845;438;1;0.95
00059.png;1308;418;1352;456;1;0.7
00059.png;1142;386;1285;458;1;0.86
00059.png;1118;454;1470;699;1;0.88
00060.png;746;222;1111;429;1;0.85
00060.png;770;163;899;225;1;0.84
00061.png;434;149;792;412;1;0.95
00061.png;1148;678;1194;725;1;0.87
00061.png;56;632;107;681;1;0.86
00062.png;579;156;792;405;1;0.94
00062.png;832;165;1005;223;1;0.87
00062.png;832;232;1006;405;1;0.95
00063.png;796;110;1007;421;1;0.93
00063.png;1024;190;1305;428;1;0.83
00063.png;1086;128;1304;186;1;0.91
00063.png;1107;693;1160;713;1;0.81
00064.png;618;157;949;431;1;0.91
00065.png;629;220;748;253;1;0.9
00065.png;509;175;860;428;1;0.89
00066.png;804;59;1022;157;1;0.83
00066.png;771;143;1310;410;1;0.82
00067.png;666;136;774;178;1;0.87
00067.png;506;96;905;416;1;0.81
00067.png;951;164;1092;231;1;0.81
00067.png;921;225;1313;468;1;0.83
00067.png;1332;605;1404;682;1;0.84
00067.png;180;529;270;614;1;0.84
00068.png;482;131;874;424;1;0.88
00069.png;740;386;911;548;1;0.95
00069.png;928;437;1099;480;1;0.87
00069.png;1187;630;1213;663;1;0.83
00070.png;584;129;903;430;1;0.95
00070.png;934;230;1251;309;1;0.89
00070.png;1798;616;1893;680;1;0.76
00070.png;1785;498;1884;626;1;0.83
00071.png;1248;66;1626;545;1;0.52
00074.png;1389;308;1570;376;1;0.71
